PI576411_2	0.00761181
PI576412	0.00604335
PI576413	0.00659002
PI576414	0.00560538
PI576415	0.0084179
PI576416	0.00728853
PI576416_1	0.00815657
PI576417	0.00886961
PI576418	0.0203054
PI576419	0.00837777
PI576420	0.00599426
PI576421	0.00669618
PI576422	0.014393
PI576423	0.0108215
PI576424	0.0104154
PI576425	0.00954284
PI576426	0.0218891
PI576427	0.00889534
PI576428	0.0159633
PI576429	0.00906457
PI576431	0.0105366
PI576432	0.00715737
PI576433	0.00687828
PI576434	0.0202062
PI576435	0.0184939
PI576436	0.00540088
PI576437	0.0204909
PI585291	0.0605633
PI585295	0.0163301
PI595699	0.0150241
PI595700	0.00998371
PI595701	0.00638525
PI595702	0.0150611
PI595703	0.0113483
PI595704	0.0100784
PI595705	0.00789378
PI595706	0.0069744
PI595708	0.00901165
PI595709	0.00792743
PI595710	0.00755931
PI595711	0.00882945
PI595712	0.00658607
PI595713	0.0101563
PI595714	0.0167898
PI595715	0.00956245
PI595716	0.00805137
PI595717	0.00688527
PI595718	0.0252838
PI595719	0.00650609
PI595720	0.0201229
PI595721	0.00866336
PI595722	0.00848081
PI595723	0.0100592
PI595724	0.00896818
PI595725	0.00617006
PI595726	0.00891331
PI595727	0.00805871
PI595728	0.00985424
PI595729	0.00915677
PI595730	0.0103854
PI595731	0.00838755
PI595732	0.00478215
PI595733	0.00669034
PI595734	0.00737367
PI595735	0.00822463
PI595736	0.00785177
PI595737	0.00616437
PI595738	0.00655654
PI595739	0.0140302
PI595740	0.00508857
PI595741	0.0204138
PI595742	0.00865747
PI595743	0.00604396
PI595744	0.0121552
PI595745	0.0157281
PI595746	0.00638268
PI595747	0.0076798
PI595748	0.00684429
PI597943	0.00862128
PI597944	0.00745733
PI597945	0.00580364
PI597946	0.0237689
PI597947	0.00509454
PI597949	0.0200009
PI597950	0.00859734
PI597951	0.0223118
PI597952	0.00829636
PI597953	0.00730083
PI597955	0.00842746
PI597956	0.00744751
PI597957	0.00941011
PI597958	0.0184307
PI597959	0.00743828
PI597960	0.0192761
PI597961	0.0168415
PI597962	0.00544717
PI597963	0.0057242
PI597964	0.0178228
PI597965	0.0183774
PI597966	0.0172114
PI597967	0.0143809
PI597968	0.0217565
PI597970	0.00672442
PI597971	0.0168795
PI597972	0.0225663
PI597973	0.0195997
PI597974	0.00865353
PI597975	0.00618137
PI597976	0.0189861
PI597977	0.0087455
PI597978	0.00692743
PI597979	0.00853033
PI597980	0.0153291
PI597981	0.00650302
PI597982	0.0179238
PI598069	0.0246796
PI598070	0.0120064
PI601816	0.0122196
PI607931	0.0140473
PI609456	0.0454701
PI613536	0.0183257
PI629034	0.0171693
PI629040	0.0229224
PI629059	0.00989963
PI641824	0.00773401
PI641836	0.0151764
PI641849	0.0243666
PI641874	0.00739006
PI642791	0.0124307
PI642793	0.0142596
PI642992	0.0219384
PI642998	0.0287776
PI651492	0.0192722
PI651496	0.0169738
PI653616	0.016724
PI653617	0.0100305
PI655970	0.0106018
PI655971	0.0241599
PI655972	0.0145735
PI655973	0.00758729
PI655974	0.0140133
PI655975	0.0138562
PI655976	0.0157186
PI655977	0.0165606
PI655978	0.02191
PI655979	0.0183176
PI655980	0.0254725
PI655981	0.0144598
PI655982	0.00898611
PI655983	0.0138579
PI655984	0.0206495
PI655985	0.0167394
PI655986	0.0137028
PI655987	0.0106793
PI655988	0.0122728
PI655989	0.0110496
PI655990	0.0199146
PI655991	0.00468158
PI655992	0.00378314
PI655993	0.0162266
PI655994	0.0271464
PI655995	0.0279727
PI655996	0.019302
PI655997	0.0182934
PI655998	0.00425768
PI655999	0.0390456
PI656000	0.00503676
PI656001	0.0140832
PI656002	0.0130374
PI656003	0.0173345
PI656004	0.0200799
PI656005	0.0169218
PI656006	0.0170919
PI656007	0.0153378
PI656008	0.0152049
PI656009	0.0120961
PI656010	0.0300948
PI656011	0.0256028
PI656012	0.0268667
PI656013	0.056914
PI656014	0.087931
PI656015	0.017307
PI656016	0.0103858
PI656017	0.0244569
PI656018	0.0148697
PI656019	0.0128226
PI656020	0.0128803
PI656021	0.0311718
PI656022	0.00914241
PI656023	0.0135589
PI656024	0.0185117
PI656025	0.027263
PI656026	0.00601998
PI656027	0.0211586
PI656028	0.0170802
PI656029	0.0216364
PI656031	0.0166974
PI656032	0.0770971
PI656033	0.0250321
PI656034	0.00558335
PI656035	0.0218044
PI656036	0.0246372
PI656037	0.0197098
PI656038	0.00625814
PI656039	0.00622451
PI656040	0.0252105
PI656041	0.024789
PI656042	0.0206922
PI656043	0.0149445
PI656044	0.0116896
PI656046	0.0252686
PI656047	0.0306363
PI656048	0.00667617
PI656049	0.0057721
PI656050	0.0286038
PI656051	0.0139222
PI656052	0.00758713
PI656053	0.0110426
PI656054	0.0278153
PI656055	0.0204452
PI656056	0.0130854
PI656057	0.00633086
PI656058	0.0180223
PI656059	0.0107902
PI656060	0.0190398
PI656061	0.0218821
PI656062	0.0269076
PI656063	0.0376275
PI656064	0.0255469
PI656065	0.0169682
PI656066	0.0264624
