PSC	0	PI24969	24486024	1635993	638715	1543789	730919	0	21.4	2531	0	0	4099473
PSC	0	PI276837	26256778	1186048	422024	1081248	526824	0	22.3	10501	0	0	2995355
PSC	0	PI329435	27670380	723879	329466	715152	338193	0	21.9	2690	0	0	2136480
PSC	0	PI329440	26020770	1264845	487587	1185735	566697	0	24.5	4803	0	0	3087003
PSC	0	PI34911	22517509	1187622	196820	928910	455532	0	13.1	1087	0	0	6958254
PSC	0	PI35038	26255073	1132479	440251	1063361	509369	0	21.0	6428	0	0	3032402
PSC	0	PI48770	23302396	812285	128836	627411	313710	0	9.5	4336	0	0	6616688
PSC	0	PI533745	14413347	766478	111150	587269	290359	0	3.8	9948	0	0	15569230
PSC	0	PI533746	20200411	1451044	227866	1123828	555082	0	8.5	7751	0	0	8980884
PSC	0	PI533747	17594620	1077470	157679	827742	407407	0	5.1	5881	0	0	12030436
PSC	0	PI533749	15942353	884826	132273	678740	338359	0	4.3	10215	0	0	13900753
PSC	0	PI533750	21781274	1472699	227608	1139075	561232	0	17.2	904	0	0	7378624
PSC	0	PI533751	23032464	1058586	214465	856247	416804	0	13.9	1252	0	0	6554690
PSC	0	PI533752	25739451	1331420	508559	1249610	590369	0	24.2	3453	0	0	3280775
PSC	0	PI533753	19029300	992878	157079	770068	379889	0	5.4	3220	0	0	10680948
PSC	0	PI533754	24806018	1483576	583311	1397945	668942	0	20.4	29326	0	0	3987300
PSC	0	PI533755	25482441	1357707	600686	1327370	631023	0	23.0	6060	0	0	3419371
PSC	0	PI533756	23580770	956707	161049	745646	372110	0	14.8	1620	0	0	6161679
PSC	0	PI533757	26365935	1148042	475876	1108269	515649	0	24.7	2809	0	0	2870352
PSC	0	PI533758	26377733	1118335	449359	1069902	497792	0	22.5	2279	0	0	2914778
PSC	0	PI533759	26663393	1109737	369745	1007797	471685	0	22.3	10125	0	0	2717330
PSC	0	PI533760	25761024	1234034	463674	1154614	543094	0	20.3	3160	0	0	3401473
PSC	0	PI533761	26431548	1114702	403022	1035852	481872	0	22.0	4893	0	0	2910933
PSC	0	PI533762	22973624	1113036	177926	867540	423422	0	13.9	6612	0	0	6595619
PSC	0	PI533763	22014862	1315087	210890	1025926	500051	0	13.1	949	0	0	7319366
PSC	0	PI533764	12591581	627901	99992	487083	240810	0	3.3	943	0	0	17540731
PSC	0	PI533765	14557704	787458	119170	607861	298767	0	3.8	1498	0	0	15395873
PSC	0	PI533766	25512464	1412817	552196	1336976	628037	0	25.6	18022	0	0	3382728
PSC	0	PI533768	22998310	1211972	213813	956768	469017	0	20.0	17232	0	0	6436110
PSC	0	PI533769	25639395	1301925	486461	1216506	571880	0	21.3	20437	0	0	3432424
PSC	0	PI533770	22807240	1280327	212471	1002707	490091	0	20.1	3454	0	0	6560167
PSC	0	PI533771	22398092	1247119	191383	966353	472149	0	14.4	1145	0	0	7023611
PSC	0	PI533772	20498181	1311602	195192	1011646	495148	0	8.7	871	0	0	8855230
PSC	0	PI533774	21974853	1235891	185578	953916	467553	0	11.9	5842	0	0	7463883
PSC	0	PI533775	20201583	1132818	179033	878224	433627	0	6.7	4630	0	0	9346771
PSC	0	PI533776	25443486	1400841	550242	1328676	622407	0	24.0	10268	0	0	3465636
PSC	0	PI533777	17172938	987610	127772	748724	366658	0	4.8	4453	0	0	12571885
