PI576351	23684469	1113274	190681	878587
PI576352	26639721	1101034	422395	1030656
PI576354	22515570	1058397	162088	820735
PI576355	15767695	596149	83639	456237
PI576357	21329071	1392769	226242	1083325
PI576358	22611555	1202005	195642	936594
PI576359	25782386	1470127	572175	1386162
PI576360	22585409	1201236	193567	934680
PI576361	21750929	1237494	186181	955400
PI576362	13057373	694487	105143	536021
PI576363	21509364	925318	141242	716360
PI576364	26423450	1226124	470348	1148278
PI576366	25594542	1367380	528629	1291628
PI576368	21756507	1210497	192722	940181
PI576369	23936342	1208424	191707	940620
PI576370	23613480	1218130	195150	952257
PI576371	19842365	881711	122160	674990
PI576372	22616048	1095317	177316	855355
PI576373	26818357	1057602	409463	998333
PI576374	23154223	938798	143919	726747
PI576375	24669923	1560368	577176	1451299
PI576376	20841125	1504602	228937	1159401
PI576377	22419672	1268452	194350	981327
PI576378	21463902	1353073	492022	1238058
PI576379	18367761	1339745	182045	1017783
PI576380	26154641	1194629	439320	1110548
PI576381	24486344	1777780	709695	1684542
PI576382	19352976	1160078	165688	888204
PI576383	22222320	1487854	235731	1156835
PI576385	26083676	1257591	442179	1153115
PI576386	26319545	1227132	426838	1126837
PI576387	26178777	1173854	479085	1128828
PI576389	22711243	1145957	191220	893915
PI576390	25583324	1368718	537655	1293863
PI576391	24354558	1733771	670160	1626991
PI576392	23779428	863455	161106	687376
PI576393	23079565	1125941	274096	942606
PI576394	21065439	1117666	159902	856597
PI576395	22171682	1068569	164130	828573
PI576396	26447475	1196382	478707	1142189
PI576397	24489972	1083289	182803	848010
PI576398	10743788	651033	89264	494478
PI576399	25660497	1351821	512131	1265016
PI576400	20809936	531482	80872	408298
PI576401	24825298	1644806	540282	1480294
PI576402	20200933	1384404	230175	1081723
PI576403	22835588	1371098	226530	1073801
PI576404_1	20704688	1192198	181554	920161
PI576404_2	23064800	1117557	183451	875572
PI576405	22157134	1282399	215970	1004620
PI576406	21950088	1353508	222657	1059841
PI576407	18266513	1195562	168918	911611
PI576408	16610122	750077	109705	574181
PI576409	22484311	1243875	200474	969500
PI576410	15391629	671363	99056	514195
PI576411_1	22055103	1050107	157892	810859
PI576411_2	23746371	1175668	191157	918673
PI576412	17799490	842158	113343	640431
PI576413	22546888	971679	156016	755356
PI576414	19715023	808750	115692	620291
PI576415	22391538	1307292	201188	1013514
PI576416	22827242	1149337	176037	890238
PI576416_1	22714649	1236026	196962	960191
PI576417	22141182	1319027	209945	1029576
PI576418	25247382	1602524	556498	1464458
PI576419	21881561	1300535	195855	1005087
PI576420	18460776	875055	116603	662315
PI576421	23319078	1063084	164368	824452
PI576422	27263878	1008590	412868	964018
PI576423	20366852	1519722	239437	1175639
PI576424	20121041	1518053	227753	1168192
PI576425	21174291	1351487	217031	1052261
PI576426	25222420	1497151	597957	1425069
PI576427	22184246	1362352	211335	1053494
PI576428	26281741	1209963	445978	1125605
PI576429	22026429	1203673	212497	950184
